gene_id	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97
gene7732	4.583	5.5	6.434	5.001	4.653	4.879	4.876	4.928	4.269	4.707	3.499	6.337	6.619	5.15	5.443	4.935	4.737	5.631	6.776	5.362	5.026	5.851	6.665	6.619	6.736	6.736	6.736	5.315	7.684	6.472	6.702	6.893	6.667	6.486	7.609	7.118	6.587	6.832	5.946	6.44	5.379	6.107	6.016	6.639	6.41	5.873	4.921	6.321	6.443	5.543	6.829	6.57	7.159	6.934	6.501	6.647	6.673	6.322	6.072	6.526	6.976	7.827	6.238	6.505	7.369	6.172	6.923	6.721	4.598	4.393	4.398	4.866	4.355	4.427	4.59	4.758	4.729	4.484	4.565	5.027	6.422	6.16	6.737	5.922	6.897	6.619	6.736	6.988	6.71	6.422	6.619	6.562	6.615	5.666	7.147	6.422	5.004
gene3453	2.095	2.436	3.409	2.619	4.078	4.961	5.477	2.349	2.223	6.053	2.306	5.001	4.542	3.309	2.97	3.4	2.929	2.878	4.972	3.39	3.422	3.209	4.294	4.542	5.075	5.075	5.075	1.607	2.223	2.084	3.62	2.644	1.891	2.294	2.24	3.378	1.862	4.595	1.17	3.608	0.777	2.849	3.742	2.915	3.754	2.596	1.929	4.211	4.816	5.48	2.587	5.38	5.124	5.391	5.127	5.245	4.97	5.827	5.979	5.186	5.176	4.171	4.836	4.749	4.848	5.938	5.36	3.44	4.348	4.334	4.403	4.647	4.475	4.469	3.683	3.861	3.779	4.486	4.44	4.804	1.748	5.734	4.093	3.488	4.163	4.542	5.075	3.301	3.985	1.748	4.542	3.361	3.481	3.501	1.899	1.748	4.625
gene7483	3.328	3.271	4.557	3.198	3.512	3.468	3.829	3.931	4.046	4.157	2.288	5.088	4.961	4.59	4.782	4.582	4.405	3.337	4.769	4.253	4.719	4.122	4.233	4.961	5.27	5.27	5.27	3.85	4.742	4.14	4.906	4.222	4.449	4.233	5.202	4.56	4.832	4.904	4.485	4.311	3.988	4.304	5.036	4.99	5.551	4.666	3.446	4.959	4.719	4.122	4.281	4.966	5.22	5.125	5.208	4.935	5.009	4.994	5.289	4.48	4.727	5.739	4.99	4.5	5.509	4.886	5.54	4.702	3.108	2.821	2.918	3.266	3.279	2.894	3.378	3.128	2.932	3.065	3.219	3.546	4.773	4.599	4.694	4.112	4.89	4.961	5.27	4.925	4.499	4.773	4.961	5.241	5.223	3.751	4.94	4.773	4.423
gene3985	9.981	10.571	9.627	9.97	8.368	7.601	7.292	11.156	11.532	7.45	10.489	9.377	7.342	11.604	11.374	11.83	11.882	10.735	9.293	11.661	11.535	11.444	10.4	7.342	7.812	7.812	7.812	11.317	10.159	10.756	9.88	10.649	10.872	10.625	10.44	10.092	7.605	7.817	5.71	10.296	7.501	11.304	9.095	11.176	10.052	11.43	11.499	8.171	9.601	8.555	10.753	9.149	8.758	9.858	9.378	8.663	8.381	8.27	8.054	8.967	8.718	8.814	9.256	8.362	7.587	7.9	7.551	9.687	9.501	9.475	9.622	9.423	9.595	9.327	9.518	9.328	9.418	9.677	9.598	9.632	11.419	10.329	9.083	10.178	9.667	7.342	7.812	9.682	9.898	11.419	7.342	9.39	9.39	8.897	11.036	11.419	9.395
gene5672	0.044	0.049	0.051	0.049	1.347	1.564	2.043	0	0.079	2.36	0	0.066	0.08	0.088	0.035	0.125	0.072	0	0	0.12	0.155	0.215	0.177	0.08	0.17	0.17	0.17	0	0	0	0	0	0	0	0	0	0	0.388	0	0.253	0	0.042	0.078	0.013	0.217	0.105	0.048	0.115	0	0.167	0	1.61	0.752	0.327	0.349	1.435	1.698	2.445	2.34	0.7	0.738	0	0.116	1.184	0	2.672	3.702	0	0	0.269	0	0	0	0.152	0	0	0	0	0	0	0.021	0.057	0.039	0	0	0.08	0.17	0.047	0.007	0.021	0.08	0.446	0.384	0.348	0	0.021	0
gene2065	0.821	0.893	1.372	0.992	2.924	2.106	2.121	0.905	0.376	2.203	0.71	0.971	1.228	1.367	1.016	0.681	0.453	0.993	0.956	1.106	2.308	1.52	2.024	1.228	1.78	1.78	1.78	0.119	0.528	0.51	0.581	0.191	0.193	0.793	0.144	0.477	0.277	1.537	0.16	0.744	0.928	0.581	0.922	0.717	2.018	1.194	1.496	1.226	1.399	1.277	0.831	3.071	2.655	2.914	3.285	2.726	2.962	2.719	2.645	3.267	2.327	1.762	3.494	2.823	3.466	3.288	3.682	0.889	1.507	1.525	1.569	1.953	1.655	1.171	1.467	1.906	1.194	1.302	1.425	1.634	0.323	0.844	0.977	0.672	0.641	1.228	1.78	0.707	0.436	0.323	1.228	2.609	2.669	1.414	0.272	0.323	1.624
gene4973	0.68	0.861	2.117	1.83	3.022	5.091	3.65	3.113	3.079	3.501	0.854	2.348	1.907	2.452	1.595	3.441	4.162	1.711	2.208	5.429	3.071	3.209	3.217	1.907	2.474	2.474	2.474	1.127	1.393	1.362	1.84	1.825	2.744	1.086	1.635	3.044	1.064	2.29	0.488	3.534	0.199	8.043	12.785	10.328	5.509	4.715	4.093	2.353	2.843	3.546	0.663	3.326	3.029	2.117	2.755	3.273	3.428	3.588	3.908	3.39	3.204	1.742	3.177	3.722	2.921	3.681	3.215	1.722	1.448	2.468	1.512	1.728	1.839	1.467	1.787	1.166	2.786	4.245	3.526	2.396	0.873	1.172	1.554	0.661	1.717	1.907	2.474	0.621	1.222	0.873	1.907	2.001	1.9	1.252	1.562	0.873	2.794
gene1092	6.5	6.936	8.188	6.885	6.878	7.05	7.144	7.826	7.793	7.223	6.355	8.751	8.192	8.221	8.321	8.124	8.06	7.056	7.851	8.071	8.482	7.93	8.007	8.192	8.331	8.331	8.331	8.278	8.475	7.827	7.823	7.805	7.544	7.901	7.755	7.692	6.478	7.338	6.475	8.408	6.921	8.225	8.439	8.538	8.982	8.333	7.954	9.255	8.74	8.964	8.066	7.981	8.287	8.048	7.732	8.011	7.834	8.039	8.1	7.862	8.344	7.816	7.722	7.874	7.676	7.893	8.042	7.877	7.396	7.35	7.357	7.246	7.426	7.037	7.293	7.237	7.129	7.383	7.455	7.488	8.329	7.845	8.409	8.305	8.339	8.192	8.331	8.082	8.018	8.329	8.192	7.723	7.766	7.155	8.336	8.329	8.093
gene567	3.957	2.825	1.182	4.252	5.522	7.376	8.088	2.519	1.965	8.335	3.63	0.824	1.282	2.066	2.371	0.46	0.096	2.356	2.728	0.247	1.992	0.119	0.189	1.282	1.506	1.506	1.506	0.337	0	0.364	0.683	0.952	0.368	0.764	0.214	1.627	4.179	1.165	3.412	2.883	6.173	0.411	1.775	0.729	2.207	1.147	0.535	1.426	1.169	1.291	0.755	5.802	6.299	5.343	5.551	4.956	5.148	8.005	8.613	5.799	6.067	5.08	5.498	5.073	4.585	8.14	8.403	0.217	1.929	1.679	1.956	2.468	2.157	1.858	2.673	2.766	2.852	1.082	2.504	2.617	0.565	0.684	1.219	1.194	0.867	1.282	1.506	1.229	1.558	0.565	1.282	2.17	2.479	2.757	0.535	0.565	3.123
gene2484	3.173	3.044	3.626	3.796	4.91	4.511	5.114	2.647	2.618	5.492	2.759	6.298	5.589	2.962	3.045	2.711	2.733	3.59	4.401	2.888	2.913	2.897	3.449	5.589	5.637	5.637	5.637	1.894	3.448	5.368	5.502	5.429	4.852	5.614	3.758	3.92	3.292	4.445	3.245	4.244	3.081	3.888	5.009	4.23	6.032	4.405	2.716	5.328	6.21	4.938	4.076	5.125	4.673	4.85	5.764	4.987	5.712	6.908	6.935	4.85	4.577	5.045	5.502	4.874	6.007	6.698	6.765	4.117	2.779	2.836	2.703	3.168	2.886	2.924	3.483	3.295	3.076	2.95	2.813	3.297	3.331	5.486	5.049	4.789	4.803	5.589	5.637	5.167	4.539	3.331	5.589	3.637	3.621	3.654	5.632	3.331	3.59
