PatientID	SampleID
P137889	P137889_S1
P137889	P137889_S2
P137889	P137889_S3
P137889	P137889_S4
P137889	P137889_S5
P137889	P137889_S6
P137889	P137889_S7
P137889	P137889_S8
P137889	P137889_S9
P137889	P137889_S10
P137889	P137889_S11
P137889	P137889_S12
P137889	P137889_S13
P137889	P137889_S14
P137889	P137889_S15
P137889	P137889_S16
P137889	P137889_S17
P137889	P137889_S18
P137889	P137889_S19
P137889	P137889_S20
P137889	P137889_S21
P137889	P137889_S22
P137889	P137889_S23
P137889	P137889_S24
P137889	P137889_S25
P137889	P137889_S26
P137889	P137889_S27
P137889	P137889_S28
P137889	P137889_S29
P137889	P137889_S30
P137889	P137889_S31
P137889	P137889_S32
P137889	P137889_S33
P137889	P137889_S34
P137889	P137889_S35
P137889	P137889_S36
P137889	P137889_S37
P137889	P137889_S38
P137889	P137889_S39
P137889	P137889_S40
P137889	P137889_S41
P137889	P137889_S42
P137889	P137889_S43
P137889	P137889_S44
P137889	P137889_S45
P137889	P137889_S46
P137889	P137889_S47
P137889	P137889_S48
P137889	P137889_S49
P137889	P137889_S50
P137234	P137234_S1
P137234	P137234_S2
P137234	P137234_S3
P137234	P137234_S4
P137234	P137234_S5
P137234	P137234_S6
P137234	P137234_S7
P137234	P137234_S8
P137234	P137234_S9
P137234	P137234_S10
P137234	P137234_S11
P137234	P137234_S12
P137234	P137234_S13
P137234	P137234_S14
P137234	P137234_S15
P137234	P137234_S16
P137234	P137234_S17
P137234	P137234_S18
P137234	P137234_S19
P137234	P137234_S20
P137234	P137234_S21
P137234	P137234_S22
P137234	P137234_S23
P137234	P137234_S24
P137234	P137234_S25
P137234	P137234_S26
P137234	P137234_S27
P137234	P137234_S28
P137234	P137234_S29
P137234	P137234_S30
P137234	P137234_S31
P137234	P137234_S32
P137234	P137234_S33
P137234	P137234_S34
P137234	P137234_S35
P137234	P137234_S36
P137234	P137234_S37
P137234	P137234_S38
P137234	P137234_S39
P137234	P137234_S40
P137234	P137234_S41
P137234	P137234_S42
P137234	P137234_S43
P137234	P137234_S44
P137234	P137234_S45
P137234	P137234_S46
P137234	P137234_S47
P137234	P137234_S48
P137234	P137234_S49
P137234	P137234_S50
P133255	P133255_S1
P133255	P133255_S2
P133255	P133255_S3
P133255	P133255_S4
P133255	P133255_S5
P133255	P133255_S6
P133255	P133255_S7
P133255	P133255_S8
P133255	P133255_S9
P133255	P133255_S10
P133255	P133255_S11
P133255	P133255_S12
P133255	P133255_S13
P133255	P133255_S14
P133255	P133255_S15
P133255	P133255_S16
P133255	P133255_S17
P133255	P133255_S18
P133255	P133255_S19
P133255	P133255_S20
P133255	P133255_S21
P133255	P133255_S22
P133255	P133255_S23
P133255	P133255_S24
P133255	P133255_S25
P133255	P133255_S26
P133255	P133255_S27
P133436	P133436_S1
P133436	P133436_S2
P133436	P133436_S3
P133436	P133436_S4
P133436	P133436_S5
P133436	P133436_S6
P133436	P133436_S7
P133436	P133436_S8
P133436	P133436_S9
P133436	P133436_S10
P133436	P133436_S11
P133436	P133436_S12
P133436	P133436_S13
P133436	P133436_S14
P133436	P133436_S15
P133436	P133436_S16
P133436	P133436_S17
P138002	P138002_S1
P138002	P138002_S2
P138002	P138002_S3
P138002	P138002_S4
P138002	P138002_S5
P138002	P138002_S6
P138002	P138002_S7
P138002	P138002_S8
P138002	P138002_S9
P138002	P138002_S10
P138002	P138002_S11
P138002	P138002_S12
P138002	P138002_S13
P138002	P138002_S14
P138002	P138002_S15
P138002	P138002_S16
P138002	P138002_S17
P138002	P138002_S18
P138002	P138002_S19
P138002	P138002_S20
P138002	P138002_S21
P138002	P138002_S22
P138002	P138002_S23
P138002	P138002_S24
P138002	P138002_S25
P138002	P138002_S26
P138002	P138002_S27
P138002	P138002_S28
P138002	P138002_S29
P138002	P138002_S30
P138002	P138002_S31
P138002	P138002_S32
P138002	P138002_S33
P138002	P138002_S34
P138002	P138002_S35
P138002	P138002_S36
P138002	P138002_S37
P136783	P136783_S1
P136783	P136783_S2
P136783	P136783_S3
P136783	P136783_S4
P136783	P136783_S5
P136783	P136783_S6
P136783	P136783_S7
P136783	P136783_S8
P136783	P136783_S9
P136783	P136783_S10
P136783	P136783_S11
P136783	P136783_S12
P136783	P136783_S13
P136783	P136783_S14
P136783	P136783_S15
P136783	P136783_S16
P136783	P136783_S17
P136783	P136783_S18
P136783	P136783_S19
P136783	P136783_S20
P136783	P136783_S21
P136783	P136783_S22
P136783	P136783_S23
P136783	P136783_S24
P136783	P136783_S25
P137343	P137343_S1
P137343	P137343_S2
P137343	P137343_S3
P137343	P137343_S4
P137343	P137343_S5
P137343	P137343_S6
P137343	P137343_S7
P137343	P137343_S8
P137343	P137343_S9
P137343	P137343_S10
P137343	P137343_S11
P137343	P137343_S12
P137343	P137343_S13
P137343	P137343_S14
P137343	P137343_S15
P137343	P137343_S16
P137343	P137343_S17
P137343	P137343_S18
P137343	P137343_S19
P137343	P137343_S20
P137343	P137343_S21
P137343	P137343_S22
P137343	P137343_S23
P137343	P137343_S24
P137343	P137343_S25
P137343	P137343_S26
P137343	P137343_S27
P137343	P137343_S28
P137343	P137343_S29
P137343	P137343_S30
P137343	P137343_S31
P137343	P137343_S32
P137343	P137343_S33
P137343	P137343_S34
P137343	P137343_S35
P137343	P137343_S36
P137343	P137343_S37
P137343	P137343_S38
P137343	P137343_S39
P137343	P137343_S40
P137343	P137343_S41
P133733	P133733_S1
P133733	P133733_S2
P133733	P133733_S3
P133733	P133733_S4
P133733	P133733_S5
P133733	P133733_S6
P133733	P133733_S7
P133733	P133733_S8
P133733	P133733_S9
P133733	P133733_S10
P133733	P133733_S11
P133733	P133733_S12
P133733	P133733_S13
P133733	P133733_S14
P133733	P133733_S15
P133733	P133733_S16
P133733	P133733_S17
P133733	P133733_S18
P136854	P136854_S1
P136854	P136854_S2
P136854	P136854_S3
P136854	P136854_S4
P136854	P136854_S5
P136854	P136854_S6
P136854	P136854_S7
P136854	P136854_S8
P136854	P136854_S9
P136854	P136854_S10
P136854	P136854_S11
P136854	P136854_S12
P136854	P136854_S13
P136854	P136854_S14
P136854	P136854_S15
P136854	P136854_S16
P136854	P136854_S17
P136854	P136854_S18
P136854	P136854_S19
P136854	P136854_S20
P136854	P136854_S21
P136854	P136854_S22
P136854	P136854_S23
P136854	P136854_S24
P136854	P136854_S25
P136854	P136854_S26
P136854	P136854_S27
P136854	P136854_S28
P136854	P136854_S29
P136854	P136854_S30
P136854	P136854_S31
P136854	P136854_S32
P136854	P136854_S33
P136854	P136854_S34
P136854	P136854_S35
P136866	P136866_S1
P136866	P136866_S2
P136866	P136866_S3
P136866	P136866_S4
P136866	P136866_S5
